varName,oldName,varDesc,Group,Inverted,Response Type
P001,Q33,How many previous full-term pregnancies have you had?,,,0 | 1 | 2 | 3 | 4+
P002,Q35,When was your estimated due date? (MM/DD/YYYY),,,Formated date response
P003,Q37,Is this a single or a multiple pregnancy?,,,Single | Multiple
P004,Q39,Age,,,18-24 | 25-29 | 30-34 | 35-39 | 40+
P005,Q41,Occupation,,,Free Response
P006,Q43,Highest educational level achieved,,,"Less Than High School | High School/GED | Some College | 2-Year College Degree | 4-Year College Degree | Master's Degree | Doctoral Degree | Professional Degree (MD, JD)"
P007,Q45,Are you currently partnered?,,,Yes | No
P008,Q47,Religious affiliation,,,Protestant Christian | Roman Catholic | Evangelical Christian | Jewish | Muslim | Hindu | Buddhist | Atheist/Nonreligious | Other | Prefer Not to Say
P009,Q49,Average household income,,,"Less than $10,000 | $10,000-$50,000 | $50,000-$100,000 | $100,000-$150,000 | More than $150,000 | Prefer Not to Say"
P010,Q51,Race,,,White/Caucasian | African American | Hispanic | Asian | Native American | Pacific Islander | Other
P011,Q53,How many siblings do you have?,,,0 | 1 | 2 | 3 | 4+
P012,Q55,Highest educational level achieved by your mother,,,"Less Than High School | High School/GED | Some College | 2-Year College Degree | 4-Year College Degree | Master's Degree | Doctoral Degree | Professional Degree (MD, JD)"
P013,Q57,Highest educational level achieved by your father,,,"Less Than High School | High School/GED | Some College | 2-Year College Degree | 4-Year College Degree | Master's Degree | Doctoral Degree | Professional Degree (MD, JD)"
P014,Q59,What is your primary motivating factor for choosing an out-of-hospital birth?,,,Free Response
P015,Q19,Did you have a vaginal childbirth or a cesarean birth?,,,Vaginal Birth | Cesarean Section
P016,Q20,Did you receive any pain medications?,,,No | Epidural | Narcotics | Spinal Block | Other
P017,Q21,Where did you give birth?,,,home | birthing center | hospital | other
P018,Q22,Did you give birth at the location you had originally intended?,,,Yes | No
P019,Q23,What day of the week did you give birth?,,,Sunday | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday
P020,Q24,What time of day did you give birth?,,,Early morning | Late morning | Early afternoon | Late afternoon | Early evening | Late evening | Middle of the night
P021,Q25,"Relative to your estimated due date, how many days early or late did you give birth?",,,More than 14 days early | 8-14 days early | 1-7 days early | Gave birth on my due date | 1-7 days late 8-14 days late | More than 14 days late
P022,Q26,How much time did you spend in active labor (4cm or more dilated)?,,,0-2 hours | 2-4 hours | 4-6 hours | 6-8 hours | 8-10 hours | 10-12 hours | More than 12 hours
